"Gene","n","HR","HR_low","HR_high","p"
"TMPO",394,1.261,1.062,1.498,0.00826
"NDC1",394,1.254,1.053,1.493,0.0111
"LBR",394,1.222,1.032,1.447,0.0201
"LMNB2",394,1.225,1.018,1.473,0.0318
"LMNB1",394,1.191,0.995,1.426,0.0571
"NUP88",394,1.168,0.979,1.394,0.0843
"SYNE1",394,0.863,0.723,1.03,0.103
"SUN1",394,1.134,0.951,1.352,0.161
"LMNA",394,1.118,0.93,1.343,0.235
"NUP107",394,1.109,0.933,1.319,0.239
"ANKLE2",394,1.099,0.916,1.32,0.309
"NUP62",394,1.083,0.907,1.293,0.38
"BANF1",394,1.08,0.89,1.31,0.436
"SUN2",394,1.074,0.887,1.301,0.464
"TOR1AIP1",394,1.044,0.88,1.238,0.62
"NUP155",394,0.999,0.843,1.185,0.994
