"Gene","n","HR","HR_low","HR_high","p"
"LMNB2",394,1.304,1.097,1.548,0.00255
"TMPO",394,1.288,1.092,1.52,0.00268
"NDC1",394,1.259,1.072,1.479,0.00493
"LMNB1",394,1.275,1.07,1.519,0.00649
"SYNE1",394,0.815,0.688,0.965,0.0179
"LBR",394,1.218,1.033,1.435,0.019
"NUP62",394,1.17,0.984,1.393,0.0762
"NUP88",394,1.159,0.977,1.374,0.0903
"LMNA",394,1.172,0.972,1.413,0.0972
"NUP107",394,1.134,0.965,1.334,0.126
"SUN1",394,1.126,0.95,1.333,0.17
"BANF1",394,1.136,0.944,1.368,0.178
"ANKLE2",394,1.128,0.945,1.345,0.182
"SUN2",394,1.109,0.925,1.33,0.265
"NUP155",394,1.057,0.889,1.256,0.53
"TOR1AIP1",394,1.037,0.883,1.217,0.661
