"gene","log2FC_main","padj_main","log2FC_dedup","padj_dedup","in_main_16DEG","sig_dedup","direction_preserved"
"LMNB1",1.864,3.27583429834795e-50,1.88,9.33641385914961e-51,TRUE,TRUE,TRUE
"NUP155",1.334,1.03981197949958e-36,1.287,5.17628452165034e-35,TRUE,TRUE,TRUE
"NDC1",1.013,5.72874231674343e-26,0.995,3.67856562276931e-25,TRUE,TRUE,TRUE
"NUP62",0.558,6.90472217573388e-17,0.596,1.75680812523944e-23,TRUE,TRUE,TRUE
"LMNB2",1.003,1.21244992115344e-19,1.033,3.73662429440038e-23,TRUE,TRUE,TRUE
"SYNE1",-1.125,1.3188422440608e-13,-1.321,1.43618359156975e-22,TRUE,TRUE,TRUE
"SUN2",-0.736,1.66438095601967e-17,-0.708,2.84223414517157e-18,TRUE,TRUE,TRUE
"NUP107",0.821,2.30913655359232e-15,0.824,4.26844775152572e-15,TRUE,TRUE,TRUE
"NUP88",0.581,2.26358188797841e-14,0.582,7.94374330072508e-15,TRUE,TRUE,TRUE
"TMPO",0.784,3.46118463760138e-15,0.77,2.34573369424568e-14,TRUE,TRUE,TRUE
"BANF1",0.535,1.50171003253095e-07,0.588,5.04475098918361e-13,TRUE,TRUE,TRUE
"LBR",0.572,7.2672564764966e-13,0.551,3.14975709261435e-12,TRUE,TRUE,TRUE
"TOR1AIP1",-0.357,7.35844048933401e-09,-0.376,7.97357013541774e-10,TRUE,TRUE,TRUE
"SUN1",0.394,1.51465423458277e-07,0.386,2.85708195240887e-07,TRUE,TRUE,TRUE
"LMNA",-0.503,2.10829497250982e-06,-0.47,2.26367745773373e-06,TRUE,TRUE,TRUE
"ANKLE2",0.359,1.68716577205517e-06,0.348,3.39721925140474e-06,TRUE,TRUE,TRUE
"EMD",0.157,0.0812225023915431,0.21,0.00202776514081656,FALSE,TRUE,TRUE
"SYNE2",-0.232,0.0724591635543867,-0.35,0.00245934332812889,FALSE,TRUE,TRUE
"LEMD3",-0.068,0.459959396767466,-0.092,0.317708860505177,FALSE,FALSE,TRUE
"POM121",0.066,0.50915726678733,0.088,0.381075779952816,FALSE,FALSE,TRUE
