"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LMNB1",2029.61539915258,1.864,0.122843344732216,15.1776001867905,4.97658638842023e-52,3.27583429834795e-50
"NUP155",2535.18015384195,1.334,0.103188365316171,12.9250528746195,3.25073077484092e-38,1.03981197949958e-36
"NDC1",1630.76915942899,1.013,0.0938050451614239,10.8020784685225,3.3649872599363e-27,5.72874231674343e-26
"LMNB2",3459.66381304003,1.003,0.107573125382588,9.324898591025,1.11089774365251e-20,1.21244992115344e-19
"SUN2",3757.45697068108,-0.736,0.0838881080356479,-8.76947062031693,1.79508246732951e-18,1.66438095601967e-17
"NUP62",2920.1685174843,0.558,0.0648933229035366,8.60256270614304,7.79555366232047e-18,6.90472217573388e-17
"NUP107",2079.12477734077,0.821,0.100447568473518,8.17556427662483,2.94484393910323e-16,2.30913655359232e-15
"TMPO",4763.01732892421,0.784,0.0965542398621515,8.12468907511751,4.48510654792312e-16,3.46118463760138e-15
"NUP88",1536.60586562786,0.581,0.0736531682979845,7.88517974877294,3.14083083947056e-15,2.26358188797841e-14
"SYNE1",5465.75604288532,-1.125,0.146971982072859,-7.6544881028584,1.94083780630955e-14,1.3188422440608e-13
"LBR",3407.25028274203,0.572,0.077115460943421,7.42389189814298,1.13727993770716e-13,7.2672564764966e-13
"TOR1AIP1",3587.84049017531,-0.357,0.059330524503323,-6.02547767993906,1.68610886747892e-09,7.35844048933401e-09
"BANF1",4928.69807537333,0.535,0.0973700123365854,5.49108295022679,3.99476666905518e-08,1.50171003253095e-07
"SUN1",6335.31566969227,0.394,0.0718338894641817,5.48953717714735,4.02988292499099e-08,1.51465423458277e-07
"ANKLE2",4061.77163064753,0.359,0.0714043532399297,5.02215511663283,5.10948909375045e-07,1.68716577205517e-06
"LMNA",21988.9778665872,-0.503,0.100991316995971,-4.97676299916098,6.46564066987526e-07,2.10829497250982e-06
"SYNE2",6882.39420963181,-0.232,0.116919088262793,-1.98387203560509,0.0472701070809767,0.0724591635543867
"EMD",2607.72803321084,0.157,0.0814574783278462,1.92957984784763,0.0536589177544996,0.0812225023915431
"LEMD3",1625.22848111458,-0.068,0.0774814679294577,-0.878171577345687,0.37985061394228,0.459959396767466
"POM121",1555.87414116319,0.066,0.0835431029879995,0.792230237883845,0.428226440357536,0.50915726678733
