"category","ID","term","pvalue","padj","count","geneID"
"GO_CC","GO:0005635","nuclear envelope",3.62e-24,2.77e-21,15,"NUP62/NUP107/LMNA/TOR1AIP1/BANF1/NUP155/NDC1/TMPO/LMNB2/SUN2/LBR/SYNE1/LMNB1/SUN1/NUP88"
"GO_CC","GO:0031965","nuclear membrane",2.46e-22,9.43e-20,13,"NUP62/NUP107/LMNA/TOR1AIP1/NUP155/NDC1/TMPO/LMNB2/SUN2/LBR/SYNE1/LMNB1/SUN1"
"GO_CC","GO:0005637","nuclear inner membrane",3.22e-12,8.21e-10,6,"TOR1AIP1/TMPO/SUN2/LBR/LMNB1/SUN1"
"GO_CC","GO:0034399","nuclear periphery",2.77e-11,5.29e-09,5,"NUP107/LMNA/LMNB2/LBR/LMNB1"
"GO_CC","GO:0005652","nuclear lamina",3.72e-10,5.7e-08,4,"LMNA/LMNB2/LBR/LMNB1"
"GO_CC","GO:0005643","nuclear pore",9.16e-09,1.17e-06,5,"NUP62/NUP107/NUP155/NDC1/NUP88"
"GO_CC","GO:0034992","microtubule organizing center attachment site",6.93e-08,5.3e-06,3,"SUN2/SYNE1/SUN1"
"GO_CC","GO:0034993","meiotic nuclear membrane microtubule tethering complex",6.93e-08,5.3e-06,3,"SUN2/SYNE1/SUN1"
"GO_CC","GO:0106083","nuclear membrane protein complex",6.93e-08,5.3e-06,3,"SUN2/SYNE1/SUN1"
"GO_CC","GO:0106094","nuclear membrane microtubule tethering complex",6.93e-08,5.3e-06,3,"SUN2/SYNE1/SUN1"
"GO_CC","GO:0005882","intermediate filament",0.000629,0.0437,3,"LMNA/LMNB2/LMNB1"
"GO_CC","GO:0045111","intermediate filament cytoskeleton",0.000784,0.05,3,"LMNA/LMNB2/LMNB1"
"GO_BP","GO:0006997","nucleus organization",3.09e-24,1.82e-20,12,"NUP107/LMNA/TOR1AIP1/BANF1/NUP155/NDC1/LMNB2/ANKLE2/SUN2/SYNE1/LMNB1/SUN1"
"GO_BP","GO:0034504","protein localization to nucleus",8.31e-18,2.44e-14,11,"NUP62/NUP107/LMNA/TOR1AIP1/NUP155/LMNB2/SUN2/SYNE1/LMNB1/SUN1/NUP88"
"GO_BP","GO:0007097","nuclear migration",8.08e-15,1.47e-11,6,"LMNA/LMNB2/SUN2/SYNE1/LMNB1/SUN1"
"GO_BP","GO:0006998","nuclear envelope organization",9.99e-15,1.47e-11,7,"LMNA/TOR1AIP1/BANF1/NUP155/LMNB2/ANKLE2/LMNB1"
"GO_BP","GO:0051647","nucleus localization",2.37e-14,2.78e-11,6,"LMNA/LMNB2/SUN2/SYNE1/LMNB1/SUN1"
"GO_BP","GO:0090435","protein localization to nuclear envelope",1.28e-10,1.26e-07,4,"LMNA/NUP155/LMNB2/LMNB1"
"GO_BP","GO:0051656","establishment of organelle localization",6.21e-09,5.21e-06,7,"LMNA/LMNB2/SUN2/SYNE1/LMNB1/SUN1/NUP88"
"GO_BP","GO:0051028","mRNA transport",5.35e-08,3.93e-05,5,"NUP62/NUP107/NUP155/NDC1/NUP88"
"GO_BP","GO:0050657","nucleic acid transport",1.32e-07,7.7e-05,5,"NUP62/NUP107/NUP155/NDC1/NUP88"
"GO_BP","GO:0050658","RNA transport",1.32e-07,7.7e-05,5,"NUP62/NUP107/NUP155/NDC1/NUP88"
"GO_BP","GO:0051236","establishment of RNA localization",1.44e-07,7.7e-05,5,"NUP62/NUP107/NUP155/NDC1/NUP88"
"GO_BP","GO:0006403","RNA localization",4.09e-07,0.000189,5,"NUP62/NUP107/NUP155/NDC1/NUP88"
"GO_BP","GO:0031503","protein-containing complex localization",4.17e-07,0.000189,4,"LMNA/NDC1/LMNB2/LMNB1"
"GO_BP","GO:0051457","maintenance of protein location in nucleus",5.38e-07,0.000226,3,"SUN2/SYNE1/SUN1"
"GO_BP","GO:0051642","centrosome localization",7.16e-07,0.000263,3,"SUN2/SYNE1/SUN1"
"GO_BP","GO:0061842","microtubule organizing center localization",7.16e-07,0.000263,3,"SUN2/SYNE1/SUN1"
"GO_BP","GO:0015931","nucleobase-containing compound transport",8.01e-07,0.000277,5,"NUP62/NUP107/NUP155/NDC1/NUP88"
"GO_BP","GO:0006405","RNA export from nucleus",9.36e-07,0.000306,4,"NUP62/NUP107/NUP155/NUP88"
"GO_BP","GO:0006913","nucleocytoplasmic transport",2.57e-06,0.000754,5,"NUP62/NUP107/NUP155/NDC1/NUP88"
"GO_BP","GO:0051169","nuclear transport",2.57e-06,0.000754,5,"NUP62/NUP107/NUP155/NDC1/NUP88"
"GO_BP","GO:0072595","maintenance of protein localization in organelle",3.12e-06,0.000874,3,"SUN2/SYNE1/SUN1"
"GO_BP","GO:0006606","protein import into nucleus",3.96e-06,0.00106,4,"NUP62/NUP107/NUP155/NUP88"
"GO_BP","GO:0051170","import into nucleus",4.42e-06,0.00113,4,"NUP62/NUP107/NUP155/NUP88"
"GO_BP","GO:0032507","maintenance of protein location in cell",6.48e-06,0.00147,3,"SUN2/SYNE1/SUN1"
"GO_BP","GO:0045185","maintenance of protein location",6.48e-06,0.00147,3,"SUN2/SYNE1/SUN1"
"GO_BP","GO:0071763","nuclear membrane organization",6.48e-06,0.00147,3,"TOR1AIP1/BANF1/ANKLE2"
"GO_BP","GO:0051168","nuclear export",9.27e-06,0.00202,4,"NUP62/NUP107/NUP155/NUP88"
"GO_BP","GO:0051235","maintenance of location",1.1e-05,0.00224,3,"SUN2/SYNE1/SUN1"
"GO_BP","GO:0051651","maintenance of location in cell",1.1e-05,0.00224,3,"SUN2/SYNE1/SUN1"
"GO_BP","GO:0031507","heterochromatin formation",2.35e-05,0.00461,4,"LMNA/LMNB2/LBR/LMNB1"
"GO_BP","GO:0007084","mitotic nuclear membrane reassembly",2.65e-05,0.00473,2,"BANF1/ANKLE2"
"GO_BP","GO:0051292","nuclear pore complex assembly",2.65e-05,0.00473,2,"NUP107/NDC1"
"GO_BP","GO:0101024","mitotic nuclear membrane organization",2.65e-05,0.00473,2,"BANF1/ANKLE2"
"GO_BP","GO:0070828","heterochromatin organization",2.79e-05,0.00483,4,"LMNA/LMNB2/LBR/LMNB1"
"GO_BP","GO:0045814","negative regulation of gene expression, epigenetic",3.8e-05,0.00638,4,"LMNA/LMNB2/LBR/LMNB1"
"GO_BP","GO:0006999","nuclear pore organization",6.17e-05,0.0101,2,"NUP107/NDC1"
"GO_BP","GO:0021801","cerebral cortex radial glia-guided migration",1e-04,0.0151,2,"SUN2/SUN1"
"GO_BP","GO:0022030","telencephalon glial cell migration",1e-04,0.0151,2,"SUN2/SUN1"
"GO_BP","GO:0046931","pore complex assembly",1e-04,0.0151,2,"NUP107/NDC1"
"GO_BP","GO:0050000","chromosome localization",0.000117,0.0171,3,"NUP62/LMNA/SUN1"
"GO_BP","GO:0040029","epigenetic regulation of gene expression",0.00013,0.0186,4,"LMNA/LMNB2/LBR/LMNB1"
"GO_BP","GO:0072594","establishment of protein localization to organelle",0.000145,0.0203,4,"NUP62/NUP107/NUP155/NUP88"
"GO_BP","GO:0021799","cerebral cortex radially oriented cell migration",0.000148,0.0203,2,"SUN2/SUN1"
"GO_BP","GO:0031468","nuclear membrane reassembly",0.00019,0.0254,2,"BANF1/ANKLE2"
"GO_BP","GO:0021795","cerebral cortex cell migration",0.000237,0.031,2,"SUN2/SUN1"
"GO_BP","GO:0000280","nuclear division",0.000278,0.0356,4,"NUP62/BANF1/ANKLE2/SUN1"
"GO_BP","GO:0022029","telencephalon cell migration",0.000367,0.0459,2,"SUN2/SUN1"
"GO_BP","GO:0021885","forebrain cell migration",0.000388,0.0475,2,"SUN2/SUN1"
"GO_MF","GO:0005521","lamin binding",1.66e-15,2.12e-12,6,"TOR1AIP1/TMPO/SUN2/LBR/SYNE1/SUN1"
"GO_MF","GO:0017056","structural constituent of nuclear pore",1.2e-11,7.7e-09,5,"NUP62/NUP107/NUP155/NDC1/NUP88"
"GO_MF","GO:0043495","protein-membrane adaptor activity",2.27e-05,0.00968,3,"SUN2/SYNE1/SUN1"
"KEGG","hsa04820","Cytoskeleton in muscle cells",3.69e-09,1.3e-06,7,"4000/84823/25777/3930/23345/4001/23353"
"KEGG","hsa03013","Nucleocytoplasmic transport",1.34e-07,2.36e-05,5,"23636/57122/9631/55706/4927"
"KEGG","hsa05014","Amyotrophic lateral sclerosis",5.66e-05,0.00664,5,"23636/57122/9631/55706/4927"
