"Gene","set","n_probes","n_N","n_T","beta_N","beta_T","delta","p_wilcox","p_ttest","direction"
"LMNB1","A_TSSonly",8,32,473,0.0528,0.0513,-0.0015,0.7293,0.7231,"hypo"
"LMNB2","A_TSSonly",6,32,473,0.0559,0.0507,-0.0051,0.01115,0.3362,"hypo"
"TMPO","A_TSSonly",5,32,473,0.0378,0.0404,0.0026,0.001771,0.00134,"hyper"
"NDC1","A_TSSonly",0,NA,NA,NA,NA,NA,NA,NA,NA
"NUP62","A_TSSonly",9,32,473,0.1956,0.2181,0.0225,1.937e-07,1.372e-14,"hyper"
"NUP88","A_TSSonly",11,32,473,0.046,0.0462,2e-04,0.6901,0.04411,"hyper"
"LBR","A_TSSonly",7,32,473,0.1743,0.1633,-0.011,2.154e-06,2.285e-07,"hypo"
"LMNB1","B_withUTR",10,32,473,0.0608,0.0591,-0.0017,0.2539,0.6562,"hypo"
"LMNB2","B_withUTR",6,32,473,0.0559,0.0507,-0.0051,0.01115,0.3362,"hypo"
"TMPO","B_withUTR",7,32,473,0.0318,0.0337,0.002,0.002124,0.001788,"hyper"
"NDC1","B_withUTR",0,NA,NA,NA,NA,NA,NA,NA,NA
"NUP62","B_withUTR",17,32,473,0.3793,0.3787,-5e-04,0.5711,0.1244,"hypo"
"NUP88","B_withUTR",11,32,473,0.046,0.0462,2e-04,0.6901,0.04411,"hyper"
"LBR","B_withUTR",15,32,473,0.1999,0.195,-0.0048,0.1316,0.1057,"hypo"
