"Gene","ImmuneCell","Algorithm","rho_ms","rho","any_mismatch","sign_flip"
"LMNB2","Granulocyte-monocyte progenitor","XCELL",0.107,-0.137,TRUE,TRUE
"LMNB2","Macrophage","EPIC",0.014,0.08,TRUE,FALSE
"LMNB2","Macrophage","TIMER",0.024,0.16,TRUE,FALSE
"LMNB2","Macrophage","XCELL",0.014,-0.021,TRUE,TRUE
"LMNB2","Macrophage M0","CIBERSORT",0.249,0.304,TRUE,FALSE
"LMNB2","Macrophage M0","CIBERSORT-ABS",0.291,0.291,FALSE,FALSE
"LMNB2","Macrophage M1","CIBERSORT",0.234,0.239,TRUE,FALSE
"LMNB2","Macrophage M1","CIBERSORT-ABS",0.256,0.227,TRUE,FALSE
"LMNB2","Macrophage M1","QUANTISEQ",0.118,0.169,TRUE,FALSE
"LMNB2","Macrophage M1","XCELL",0.176,0.171,TRUE,FALSE
"LMNB2","Macrophage M2","CIBERSORT",-0.193,0.039,TRUE,TRUE
"LMNB2","Macrophage M2","CIBERSORT-ABS",-0.215,0.051,TRUE,TRUE
"LMNB2","Macrophage M2","QUANTISEQ",-0.23,-0.263,TRUE,FALSE
"LMNB2","Macrophage M2","TIDE",-0.31,-0.31,FALSE,FALSE
"LMNB2","Macrophage M2","XCELL",-0.307,-0.307,FALSE,FALSE
"LMNB2","Macrophage/Monocyte","MCPCOUNTER",0.023,0.208,TRUE,FALSE
"LMNB2","Monocyte","CIBERSORT",-0.054,-0.074,TRUE,FALSE
"LMNB2","Monocyte","CIBERSORT-ABS",-0.041,-0.049,TRUE,FALSE
"LMNB2","Monocyte","MCPCOUNTER",0.023,0.208,TRUE,FALSE
"LMNB2","Monocyte","QUANTISEQ",0.012,0.088,TRUE,FALSE
"LMNB2","Monocyte","XCELL",0.072,-0.057,TRUE,TRUE
"LMNB2","Myeloid dendritic cell","MCPCOUNTER",0.063,-0.261,TRUE,TRUE
"LMNB2","Myeloid dendritic cell","QUANTISEQ",0.024,0.227,TRUE,FALSE
"LMNB2","Myeloid dendritic cell","TIMER",0.124,0.029,TRUE,FALSE
"LMNB2","Myeloid dendritic cell","XCELL",0.137,-0.243,TRUE,TRUE
"LMNB2","Neutrophil","CIBERSORT",0.111,0.072,TRUE,FALSE
"LMNB2","Neutrophil","CIBERSORT-ABS",0.151,0.093,TRUE,FALSE
"LMNB2","Neutrophil","MCPCOUNTER",0.176,-0.152,TRUE,TRUE
"LMNB2","Neutrophil","QUANTISEQ",0.11,0.047,TRUE,FALSE
"LMNB2","Neutrophil","TIMER",0.083,0.257,TRUE,FALSE
"LMNB2","Neutrophil","XCELL",0.218,0.028,TRUE,FALSE
"LMNB2","T cell CD4+","TIMER",-0.091,0.046,TRUE,TRUE
"LMNB2","T cell CD4+ (non-regulatory)","XCELL",0.179,-0.009,TRUE,TRUE
"LMNB2","T cell CD4+ memory activated","CIBERSORT",0.252,0.199,TRUE,FALSE
"LMNB2","T cell CD4+ memory activated","CIBERSORT-ABS",0.232,0.2,TRUE,FALSE
"LMNB2","T cell CD4+ memory resting","CIBERSORT",-0.11,-0.172,TRUE,FALSE
"LMNB2","T cell CD4+ memory resting","CIBERSORT-ABS",-0.046,-0.107,TRUE,FALSE
"LMNB2","T cell CD4+ naive","CIBERSORT",0.014,-0.058,TRUE,TRUE
"LMNB2","T cell CD4+ naive","CIBERSORT-ABS",0.016,-0.058,TRUE,TRUE
"LMNB2","T cell CD4+ naive","XCELL",0.106,-0.094,TRUE,TRUE
"LMNB2","T cell CD4+ Th1","XCELL",0.403,0.403,TRUE,FALSE
"LMNB2","T cell CD4+ Th2","XCELL",0.404,0.404,TRUE,FALSE
"NUP88","B cell","EPIC",-0.225,-0.225,FALSE,FALSE
"NUP88","B cell","MCPCOUNTER",-0.233,-0.233,FALSE,FALSE
"NUP88","B cell","QUANTISEQ",-0.164,-0.164,FALSE,FALSE
"NUP88","B cell","TIMER",-0.177,-0.177,TRUE,FALSE
