"Gene","ImmuneCell","Algorithm","rho_manuscript","rho_S2","p_raw_manuscript","p_raw_S2","p_BH_manuscript_str","p_BH_S2","significant_manuscript","significant_S2","sign_flip"
"LMNB2","Granulocyte-monocyte progenitor","XCELL",0.107,-0.137,0.017,0.00231,"0.058",0.013,FALSE,TRUE,TRUE
"LMNB2","Macrophage","XCELL",0.014,-0.021,0.76,0.635,"0.863",0.788,FALSE,FALSE,TRUE
"LMNB2","Macrophage M2","CIBERSORT",-0.193,0.039,1e-05,0.384,"0.000*",0.584,TRUE,FALSE,TRUE
"LMNB2","Macrophage M2","CIBERSORT-ABS",-0.215,0.051,8.6e-07,0.256,"1.4e-05*",0.447,TRUE,FALSE,TRUE
"LMNB2","Monocyte","XCELL",0.072,-0.057,0.106,0.209,"0.235",0.389,FALSE,FALSE,TRUE
"LMNB2","Myeloid dendritic cell","MCPCOUNTER",0.063,-0.261,0.158,4.33e-09,"0.318",1.26e-07,FALSE,TRUE,TRUE
"LMNB2","Myeloid dendritic cell","XCELL",0.137,-0.243,0.002,4.46e-08,"0.012*",1.02e-06,TRUE,TRUE,TRUE
"LMNB2","Neutrophil","MCPCOUNTER",0.176,-0.152,8.6e-05,0.000699,"0.001*",0.00479,TRUE,TRUE,TRUE
"LMNB2","T cell CD4+","TIMER",-0.091,0.046,0.043,0.309,"0.122",0.505,FALSE,FALSE,TRUE
"LMNB2","T cell CD4+ (non-regulatory)","XCELL",0.179,-0.009,5.7e-05,0.848,"0.001*",0.923,TRUE,FALSE,TRUE
"LMNB2","T cell CD4+ naive","CIBERSORT",0.014,-0.058,0.752,0.2,"0.860",0.379,FALSE,FALSE,TRUE
"LMNB2","T cell CD4+ naive","CIBERSORT-ABS",0.016,-0.058,0.728,0.2,"0.851",0.379,FALSE,FALSE,TRUE
"LMNB2","T cell CD4+ naive","XCELL",0.106,-0.094,0.018,0.0362,"0.062",0.114,FALSE,FALSE,TRUE
"NUP88","Neutrophil","CIBERSORT",-0.057,0.129,0.211,0.00414,"0.382",0.0204,FALSE,TRUE,TRUE
"NUP88","Neutrophil","CIBERSORT-ABS",-0.027,0.105,0.554,0.0193,"0.713",0.067,FALSE,FALSE,TRUE
"NUP88","Neutrophil","MCPCOUNTER",-0.105,0.084,0.02,0.062,"0.067",0.159,FALSE,FALSE,TRUE
"NUP88","Neutrophil","XCELL",-0.078,0.073,0.085,0.103,"0.200",0.231,FALSE,FALSE,TRUE
"NUP88","T cell CD4+ (non-regulatory)","XCELL",0.071,-0.007,0.118,0.88,"0.255",0.934,FALSE,FALSE,TRUE
"NUP88","T cell CD4+ memory resting","CIBERSORT",-0.198,0.101,9.3e-06,0.0254,"0.000*",0.0826,TRUE,FALSE,TRUE
"NUP88","T cell CD4+ memory resting","CIBERSORT-ABS",-0.149,0.006,0.001,0.896,"0.005*",0.941,TRUE,FALSE,TRUE
"NUP88","T cell CD4+ naive","CIBERSORT-ABS",-0.005,0.059,0.913,0.189,"0.954",0.356,FALSE,FALSE,TRUE
"NUP88","T cell CD4+ Th1","XCELL",0.169,-0.092,0.00014,0.041,"0.002*",0.117,TRUE,FALSE,TRUE
"NUP88","T cell CD8+","CIBERSORT",-0.034,0.03,0.452,0.507,"0.633",0.675,FALSE,FALSE,TRUE
"NUP88","T cell CD8+","CIBERSORT-ABS",0.06,-0.048,0.185,0.29,"0.351",0.473,FALSE,FALSE,TRUE
"NUP88","T cell CD8+","QUANTISEQ",0.029,-0.075,0.527,0.0961,"0.691",0.219,FALSE,FALSE,TRUE
"NUP88","T cell CD8+ effector memory","XCELL",0.03,-0.098,0.515,0.0292,"0.683",0.0917,FALSE,FALSE,TRUE
"NUP88","T cell regulatory (Tregs)","XCELL",0.054,-0.048,0.235,0.29,"0.413",0.473,FALSE,FALSE,TRUE
"LMNB2","Macrophage","EPIC",0.014,0.08,0.756,0.0765,"0.862",0.194,FALSE,FALSE,FALSE
"LMNB2","Macrophage","TIMER",0.024,0.16,0.598,0.000353,"0.748",0.00268,FALSE,TRUE,FALSE
"LMNB2","Macrophage M0","CIBERSORT",0.249,0.304,1.6e-08,5.4e-12,"4.1e-07*",3.09e-10,TRUE,TRUE,FALSE
"LMNB2","Macrophage M1","CIBERSORT",0.234,0.239,1.4e-07,8.27e-08,"2.9e-06*",1.79e-06,TRUE,TRUE,FALSE
"LMNB2","Macrophage M1","CIBERSORT-ABS",0.256,0.227,8e-09,3.51e-07,"2.3e-07*",6.28e-06,TRUE,TRUE,FALSE
"LMNB2","Macrophage M1","QUANTISEQ",0.118,0.169,0.009,0.000164,"0.038*",0.00141,TRUE,TRUE,FALSE
"LMNB2","Macrophage M1","XCELL",0.176,0.171,8.9e-05,0.000139,"0.001*",0.00121,TRUE,TRUE,FALSE
"LMNB2","Macrophage M2","QUANTISEQ",-0.23,-0.263,1.2e-07,2.85e-09,"2.7e-06*",8.57e-08,TRUE,TRUE,FALSE
"LMNB2","Macrophage/Monocyte","MCPCOUNTER",0.023,0.208,0.611,3.26e-06,"0.756",4.56e-05,FALSE,TRUE,FALSE
"LMNB2","Monocyte","CIBERSORT",-0.054,-0.074,0.231,0.103,"0.410",0.237,FALSE,FALSE,FALSE
"LMNB2","Monocyte","CIBERSORT-ABS",-0.041,-0.049,0.354,0.276,"0.535",0.468,FALSE,FALSE,FALSE
"LMNB2","Monocyte","MCPCOUNTER",0.023,0.208,0.611,3.26e-06,"0.756",4.56e-05,FALSE,TRUE,FALSE
"LMNB2","Monocyte","QUANTISEQ",0.012,0.088,0.789,0.0504,"0.876",0.145,FALSE,FALSE,FALSE
"LMNB2","Myeloid dendritic cell","QUANTISEQ",0.024,0.227,0.587,3.35e-07,"0.738",6.04e-06,FALSE,TRUE,FALSE
"LMNB2","Myeloid dendritic cell","TIMER",0.124,0.029,0.005,0.517,"0.027*",0.699,TRUE,FALSE,FALSE
"LMNB2","Neutrophil","CIBERSORT",0.111,0.072,0.013,0.11,"0.050",0.249,FALSE,FALSE,FALSE
"LMNB2","Neutrophil","CIBERSORT-ABS",0.151,0.093,0.001,0.0391,"0.005*",0.121,TRUE,FALSE,FALSE
"LMNB2","Neutrophil","QUANTISEQ",0.11,0.047,0.014,0.293,"0.052",0.487,FALSE,FALSE,FALSE
"LMNB2","Neutrophil","TIMER",0.083,0.257,0.064,6.82e-09,"0.165",1.92e-07,FALSE,TRUE,FALSE
"LMNB2","Neutrophil","XCELL",0.218,0.028,6.5e-07,0.532,"1.1e-05*",0.711,TRUE,FALSE,FALSE
"LMNB2","T cell CD4+ memory activated","CIBERSORT",0.252,0.199,1.5e-08,8.94e-06,"4.0e-07*",0.000108,TRUE,TRUE,FALSE
"LMNB2","T cell CD4+ memory activated","CIBERSORT-ABS",0.232,0.2,1.7e-07,7.56e-06,"3.5e-06*",9.36e-05,TRUE,TRUE,FALSE
"LMNB2","T cell CD4+ memory resting","CIBERSORT",-0.11,-0.172,0.014,0.000128,"0.051",0.00112,FALSE,TRUE,FALSE
"LMNB2","T cell CD4+ memory resting","CIBERSORT-ABS",-0.046,-0.107,0.31,0.0171,"0.495",0.0639,FALSE,FALSE,FALSE
"LMNB2","T cell CD4+ Th1","XCELL",0.403,0.403,1.1e-20,1.11e-20,"1.5e-18*",2.27e-18,TRUE,TRUE,FALSE
"LMNB2","T cell CD4+ Th2","XCELL",0.404,0.404,9.9e-21,9.9e-21,"1.5e-18*",2.11e-18,TRUE,TRUE,FALSE
"NUP88","B cell","TIMER",-0.177,-0.177,8.1e-05,8.15e-05,"0.001*",0.000773,TRUE,TRUE,FALSE
"NUP88","B cell memory","CIBERSORT",-0.178,-0.178,7.1e-05,7.07e-05,"0.001*",0.00069,TRUE,TRUE,FALSE
"NUP88","Macrophage M0","CIBERSORT",-0.182,-0.182,5e-05,5.04e-05,"0.001*",0.000521,TRUE,TRUE,FALSE
"NUP88","Neutrophil","QUANTISEQ",-0.03,-0.006,0.515,0.896,"0.683",0.941,FALSE,FALSE,FALSE
"NUP88","Neutrophil","TIMER",-0.046,-0.077,0.31,0.0892,"0.495",0.209,FALSE,FALSE,FALSE
"NUP88","NK cell","EPIC",-0.157,-0.157,0.00035,0.00048,"0.004*",0.00351,TRUE,TRUE,FALSE
"NUP88","NK cell","QUANTISEQ",-0.144,-0.144,0.001,0.0014,"0.009*",0.00852,TRUE,TRUE,FALSE
"NUP88","T cell CD4+","TIMER",-0.297,-0.068,1.5e-11,0.133,"6.5e-10*",0.279,TRUE,FALSE,FALSE
"NUP88","T cell CD4+ memory activated","CIBERSORT",0.151,0.107,0.001,0.0176,"0.005*",0.0625,TRUE,FALSE,FALSE
"NUP88","T cell CD4+ memory activated","CIBERSORT-ABS",0.147,0.101,0.001,0.0245,"0.006*",0.0802,TRUE,FALSE,FALSE
"NUP88","T cell CD4+ naive","CIBERSORT",0.014,0.059,0.762,0.189,"0.864",0.356,FALSE,FALSE,FALSE
"NUP88","T cell CD4+ naive","XCELL",-0.083,-0.176,0.064,8.4e-05,"0.165",0.000791,FALSE,TRUE,FALSE
"NUP88","T cell CD4+ Th2","XCELL",0.342,0.183,1.3e-15,4.22e-05,"8.9e-14*",0.000448,TRUE,TRUE,FALSE
"NUP88","T cell CD8+","EPIC",0.115,0.093,0.01,0.0396,"0.042*",0.114,TRUE,FALSE,FALSE
"NUP88","T cell CD8+","MCPCOUNTER",-0.094,-0.051,0.038,0.261,"0.110",0.445,FALSE,FALSE,FALSE
"NUP88","T cell CD8+","TIMER",-0.08,-0.083,0.064,0.0666,"0.165",0.168,FALSE,FALSE,FALSE
"NUP88","T cell CD8+","XCELL",-0.071,-0.13,0.118,0.0038,"0.256",0.019,FALSE,TRUE,FALSE
"NUP88","T cell CD8+ central memory","XCELL",-0.155,-0.12,0.001,0.00781,"0.004*",0.0339,TRUE,TRUE,FALSE
"NUP88","T cell CD8+ naive","XCELL",0.077,0.036,0.088,0.426,"0.205",0.603,FALSE,FALSE,FALSE
"NUP88","T cell regulatory (Tregs)","CIBERSORT",-0.319,-0.243,5.1e-14,4.44e-08,"2.6e-12*",1.01e-06,TRUE,TRUE,FALSE
"NUP88","T cell regulatory (Tregs)","CIBERSORT-ABS",-0.252,-0.238,1e-08,8.77e-08,"2.7e-07*",1.85e-06,TRUE,TRUE,FALSE
"NUP88","T cell regulatory (Tregs)","QUANTISEQ",-0.105,-0.186,0.02,3.28e-05,"0.066",0.000363,FALSE,TRUE,FALSE
