"preferredName_A","preferredName_B","score"
"NUP107","TMPO",0.423
"NUP107","SYNE1",0.428
"NUP107","LMNB2",0.433
"NUP107","LBR",0.472
"NUP107","LMNB1",0.523
"NUP107","NDC1",0.974
"NUP107","NUP88",0.994
"NUP107","NUP62",0.997
"NUP107","NUP155",0.999
"NUP155","SUN1",0.427
"NUP155","LMNB1",0.447
"NUP155","TMPO",0.485
"NUP155","LMNA",0.728
"NUP155","NDC1",0.992
"NUP155","NUP88",0.995
"NUP155","NUP62",0.997
"LMNB1","NUP88",0.402
"LMNB1","NDC1",0.414
"LMNB1","NUP62",0.485
"LMNB1","ANKLE2",0.619
"LMNB1","TOR1AIP1",0.783
"LMNB1","BANF1",0.922
"LMNB1","SYNE1",0.956
"LMNB1","SUN2",0.957
"LMNB1","TMPO",0.981
"LMNB1","SUN1",0.982
"LMNB1","LMNA",0.996
"LMNB1","LMNB2",0.999
"LMNB1","LBR",0.999
"TMPO","SUN2",0.425
"TMPO","NDC1",0.435
"TMPO","SUN1",0.465
"TMPO","TOR1AIP1",0.655
"TMPO","ANKLE2",0.721
"TMPO","LBR",0.74
"TMPO","LMNB2",0.796
"TMPO","BANF1",0.967
"TMPO","LMNA",0.989
"LMNB2","SYNE1",0.504
"LMNB2","NUP62",0.548
"LMNB2","TOR1AIP1",0.556
"LMNB2","SUN2",0.641
"LMNB2","BANF1",0.85
"LMNB2","SUN1",0.852
"LMNB2","LMNA",0.992
"LMNB2","LBR",0.998
"LBR","TOR1AIP1",0.451
"LBR","NUP62",0.459
"LBR","SYNE1",0.674
"LBR","SUN2",0.732
"LBR","LMNA",0.747
"LBR","SUN1",0.772
"LBR","BANF1",0.852
"ANKLE2","LMNA",0.587
"ANKLE2","BANF1",0.836
"SYNE1","BANF1",0.545
"SYNE1","LMNA",0.996
"SYNE1","SUN2",0.999
"SYNE1","SUN1",0.999
"LMNA","TOR1AIP1",0.728
"LMNA","BANF1",0.996
"LMNA","SUN1",0.997
"LMNA","SUN2",0.999
"NDC1","NUP88",0.979
"NDC1","NUP62",0.987
"SUN1","TOR1AIP1",0.5
"SUN1","NUP62",0.511
"SUN1","BANF1",0.728
"SUN1","SUN2",0.996
"SUN2","BANF1",0.689
"NUP88","NUP62",0.999
