"cohort","signature","gene_removed","n_genes","HR","HR_low","HR_high","p","C","C_low","C_high","AUC_12m","AUC_36m","AUC_60m","delta_C"
"TCGA","Score_A_full","none",4,1.343,1.144,1.576,0.000305,0.62,0.567,0.673,0.669,0.612,0.572,0
"TCGA","Score_A_no_LMNB2","LMNB2",3,1.303,1.109,1.53,0.00127,0.602,0.548,0.655,0.647,0.593,0.593,-0.018
"TCGA","Score_A_no_TMPO","TMPO",3,1.335,1.136,1.569,0.000443,0.617,0.562,0.672,0.65,0.61,0.551,-0.003
"TCGA","Score_A_no_NDC1","NDC1",3,1.339,1.142,1.57,0.000324,0.615,0.562,0.668,0.67,0.613,0.564,-0.005
"TCGA","Score_A_no_LBR","LBR",3,1.347,1.147,1.582,0.000282,0.626,0.573,0.679,0.679,0.61,0.559,0.006
"TCGA_heldout","Score_A_full","none",4,1.157,0.843,1.588,0.368,0.582,0.477,0.687,0.617,0.516,0.481,0
"TCGA_heldout","Score_A_no_LMNB2","LMNB2",3,1.069,0.781,1.463,0.677,0.547,0.443,0.652,0.571,0.482,0.487,-0.035
"TCGA_heldout","Score_A_no_TMPO","TMPO",3,1.188,0.861,1.64,0.293,0.58,0.472,0.688,0.608,0.531,0.447,-0.002
"TCGA_heldout","Score_A_no_NDC1","NDC1",3,1.177,0.86,1.611,0.31,0.578,0.479,0.677,0.62,0.523,0.501,-0.004
"TCGA_heldout","Score_A_no_LBR","LBR",3,1.18,0.861,1.618,0.303,0.594,0.491,0.698,0.652,0.52,0.499,0.012
"GSE31210","Score_A_full","none",4,1.457,1.122,1.892,0.00473,0.641,0.537,0.745,0.654,0.657,0.655,0
"GSE31210","Score_A_no_LMNB2","LMNB2",3,1.447,1.096,1.911,0.00905,0.627,0.519,0.735,0.616,0.647,0.64,-0.014
"GSE31210","Score_A_no_TMPO","TMPO",3,1.553,1.197,2.014,0.000922,0.678,0.58,0.776,0.697,0.696,0.701,0.037
"GSE31210","Score_A_no_NDC1","NDC1",3,1.353,1.031,1.775,0.0293,0.614,0.507,0.721,0.57,0.632,0.626,-0.027
"GSE31210","Score_A_no_LBR","LBR",3,1.399,1.094,1.789,0.00746,0.633,0.524,0.741,0.682,0.659,0.636,-0.008
"GSE50081","Score_A_full","none",4,1.139,0.915,1.417,0.243,0.552,0.486,0.617,0.635,0.582,0.558,0
"GSE50081","Score_A_no_LMNB2","LMNB2",3,1.096,0.874,1.376,0.428,0.519,0.449,0.588,0.567,0.536,0.53,-0.033
"GSE50081","Score_A_no_TMPO","TMPO",3,1.099,0.884,1.367,0.394,0.538,0.47,0.607,0.622,0.565,0.55,-0.014
"GSE50081","Score_A_no_NDC1","NDC1",3,1.176,0.945,1.464,0.147,0.56,0.495,0.625,0.642,0.594,0.571,0.008
"GSE50081","Score_A_no_LBR","LBR",3,1.159,0.937,1.434,0.174,0.56,0.497,0.624,0.614,0.591,0.573,0.008
