cancer,infiltrates,rho,p,adj.p
LUAD (n=516),B cell memory_ABIS,0.0788244995217169,0.0803832860777794,0.132979757215092
LUAD (n=516),B cell memory_CIBERSORT,-0.211399795408898,2.18466639866898e-06,1.39402522581735e-05
LUAD (n=516),B cell memory_CIBERSORT-ABS,-0.192824278856205,1.62482294827942e-05,7.25754250231474e-05
LUAD (n=516),B cell memory_XCELL,-0.164056619231829,0.000253976481907213,0.000810305918465871
LUAD (n=516),B cell naive_ABIS,-0.258578293663736,5.67134098491035e-09,7.59959691977987e-08
LUAD (n=516),B cell naive_CIBERSORT,0.020342900189519,0.65228815318767,0.704892036509256
LUAD (n=516),B cell naive_CIBERSORT-ABS,0.0329530068725567,0.465380134977688,0.551866708734603
LUAD (n=516),B cell naive_XCELL,-0.0344951115902576,0.444748676007635,0.541659858592495
LUAD (n=516),B cell plasma immature_ABIS,-0.182506082657026,4.57596625385714e-05,0.000180346905299075
LUAD (n=516),B cell plasma_CIBERSORT,-0.202419598021441,5.89799587790332e-06,3.29304769849602e-05
LUAD (n=516),B cell plasma_CIBERSORT-ABS,-0.187253620158618,2.86149017134102e-05,0.000123690220309579
LUAD (n=516),B cell plasma_XCELL,-0.219780972912449,8.3108668834864e-07,5.56828081193589e-06
LUAD (n=516),B cell_CONSENSUS_TME,-0.0214609774429859,0.634533124909563,0.692309360311488
LUAD (n=516),B cell_EPIC,-0.194835831266865,1.31918413314257e-05,6.31323835146801e-05
LUAD (n=516),B cell_MCPCOUNTER,-0.196890189898077,1.06393969285954e-05,5.28029329048811e-05
LUAD (n=516),B cell_QUANTISEQ,-0.149464935246192,0.000871729118602364,0.00238391228352483
LUAD (n=516),B cell_TIMER,-0.247341670791406,2.62711198500758e-08,2.34688670660677e-07
LUAD (n=516),B cell_XCELL,-0.116509540835941,0.00962025397144471,0.0226160356521683
LUAD (n=516),Basophil_ABIS,0.0369008502306196,0.413625350030386,0.51320182318585
LUAD (n=516),CD4_naive_ImmuCellAI,-0.0633691709071325,0.160061570118187,0.243730118134512
LUAD (n=516),CD4_T_ImmuCellAI,0.0428199967268535,0.342732528578412,0.454714443856506
LUAD (n=516),CD8_naive_ImmuCellAI,0.099183374233212,0.027660350100105,0.0559578326432987
LUAD (n=516),CD8_T_ImmuCellAI,0.178924110461811,6.47057181236758e-05,0.000247730463673501
LUAD (n=516),CD8_TIDE,0.106163567979745,0.0183787941003855,0.0384806001476822
LUAD (n=516),Central_memory_ImmuCellAI,-0.000401369213200452,0.99290752138058,0.99290752138058
LUAD (n=516),Class-switched memory B cell_XCELL,-0.18374044954073,4.05473527589627e-05,0.000164646826354576
LUAD (n=516),CTL_TIDE,0.1314989366063,0.00344400822646945,0.00854624263605382
LUAD (n=516),CTL.flag_TIDE,NA,NA,NA
LUAD (n=516),Cytotoxic_ImmuCellAI,0.13181510008366,0.00336629866312698,0.00851101926149087
LUAD (n=516),DC_ImmuCellAI,0.250964658173,1.61546516843088e-08,1.5462309469267e-07
LUAD (n=516),Exhausted_ImmuCellAI,0.251701112603852,1.46206227644018e-08,1.50704880802296e-07
LUAD (n=516),Granulocyte-monocyte progenitor_XCELL,-0.136933176431497,0.0023109393931822,0.00607187997424343
LUAD (n=516),Macrophage M0_CIBERSORT,0.303916759830357,5.39909578752756e-12,1.44695767105739e-10
LUAD (n=516),Macrophage M0_CIBERSORT-ABS,0.291302412708625,4.24944042132225e-11,8.13464309224546e-10
LUAD (n=516),Macrophage M1_CIBERSORT,0.238566090029686,8.26794744185945e-08,6.51708798358333e-07
LUAD (n=516),Macrophage M1_CIBERSORT-ABS,0.226980586498749,3.51281195358564e-07,2.47745685147619e-06
LUAD (n=516),Macrophage M1_QUANTISEQ,0.168928575428522,0.000164285219943167,0.000550355486809609
LUAD (n=516),Macrophage M1_XCELL,0.170757551000912,0.000139065148251789,0.00047781358630102
LUAD (n=516),Macrophage M2_CIBERSORT,0.0392627894741361,0.384356206323749,0.486777287860978
LUAD (n=516),Macrophage M2_CIBERSORT-ABS,0.0512033050076897,0.256477412167568,0.36308553390356
LUAD (n=516),Macrophage M2_CONSENSUS_TME,-0.024976841688511,0.580089199003291,0.653209686272614
LUAD (n=516),Macrophage M2_QUANTISEQ,-0.263452716968989,2.85011124521097e-09,4.77393633572838e-08
LUAD (n=516),Macrophage M2_TIDE,-0.309771727742591,2.00189116400702e-12,8.9417805325647e-11
LUAD (n=516),Macrophage M2_XCELL,-0.307440388828737,2.97961792353621e-12,9.98172004384629e-11
LUAD (n=516),Macrophage_CONSENSUS_TME,0.0126802349474778,0.778830435620859,0.821758097426733
LUAD (n=516),Macrophage_EPIC,0.0798436120969912,0.0765367295091677,0.128199021927856
LUAD (n=516),Macrophage_ImmuCellAI,-0.109136606370223,0.0153370835803607,0.033691298356858
LUAD (n=516),Macrophage_TIMER,0.160272363677919,0.000353303184756059,0.00110099131993749
