cancer,infiltrates,rho,p,adj.p
LUAD (n=516),B cell memory_ABIS,0.109311485627687,0.0151727952130503,0.0406630911709748
LUAD (n=516),B cell memory_CIBERSORT,-0.177990705538576,7.07417451008053e-05,0.000430881538341269
LUAD (n=516),B cell memory_CIBERSORT-ABS,-0.189725778077337,2.23044878188049e-05,0.000199253424514658
LUAD (n=516),B cell memory_XCELL,-0.132889497946006,0.00311397156370641,0.0119220625581903
LUAD (n=516),B cell naive_ABIS,-0.181756892825661,4.92256716149688e-05,0.000321611311870085
LUAD (n=516),B cell naive_CIBERSORT,0.157222802707001,0.000458555797418729,0.00211884402945206
LUAD (n=516),B cell naive_CIBERSORT-ABS,0.123341833744786,0.00610368010450624,0.0194736460477104
LUAD (n=516),B cell naive_XCELL,0.0166163100479809,0.712850251915131,0.809507913191759
LUAD (n=516),B cell plasma immature_ABIS,-0.20452822676584,4.68948359496329e-06,5.23659001437567e-05
LUAD (n=516),B cell plasma_CIBERSORT,0.00505774363807693,0.910810894337437,0.968640157469972
LUAD (n=516),B cell plasma_CIBERSORT-ABS,-0.0629564522698325,0.162805913888669,0.256658734836255
LUAD (n=516),B cell plasma_XCELL,-0.145753691942233,0.00117290116422096,0.00491152362517525
LUAD (n=516),B cell_CONSENSUS_TME,-0.0914026608880919,0.0425026496950571,0.0862932584717827
LUAD (n=516),B cell_EPIC,-0.225060015376251,4.43244599368835e-07,8.48496804506055e-06
LUAD (n=516),B cell_MCPCOUNTER,-0.232663007375982,1.74426606964127e-07,3.89552755553216e-06
LUAD (n=516),B cell_QUANTISEQ,-0.164113433988536,0.000252707031700222,0.00130241316337807
LUAD (n=516),B cell_TIMER,-0.17650140471839,8.14839009217828e-05,0.00046880742710158
LUAD (n=516),B cell_XCELL,-0.186760327188678,3.00618531208716e-05,0.000251768019887299
LUAD (n=516),Basophil_ABIS,0.106979377616062,0.0174957525134224,0.0453773223460052
LUAD (n=516),CD4_naive_ImmuCellAI,0.067351903965535,0.135344309844729,0.21590639903802
LUAD (n=516),CD4_T_ImmuCellAI,-0.00160968929442701,0.971561280900274,0.978866252937119
LUAD (n=516),CD8_naive_ImmuCellAI,-0.00248906714208454,0.956038039908295,0.978866252937119
LUAD (n=516),CD8_T_ImmuCellAI,0.0948721375770992,0.0352123434569429,0.0748960956068309
LUAD (n=516),CD8_TIDE,-0.00240167530508433,0.957580079448969,0.978866252937119
LUAD (n=516),Central_memory_ImmuCellAI,0.123473206192224,0.00604920614410378,0.0194736460477104
LUAD (n=516),Class-switched memory B cell_XCELL,-0.209212886367856,2.79362324124446e-06,3.74345514326758e-05
LUAD (n=516),CTL_TIDE,-0.0440255324622566,0.329303826161342,0.454914563975463
LUAD (n=516),CTL.flag_TIDE,NA,NA,NA
LUAD (n=516),Cytotoxic_ImmuCellAI,-0.00275731768642805,0.95130577572803,0.978866252937119
LUAD (n=516),DC_ImmuCellAI,0.0198660324725173,0.65992173633842,0.768952284081289
LUAD (n=516),Exhausted_ImmuCellAI,0.0617063802889131,0.171334030662806,0.266962326846697
LUAD (n=516),Granulocyte-monocyte progenitor_XCELL,-0.016927835629424,0.707711255039769,0.809507913191759
LUAD (n=516),Macrophage M0_CIBERSORT,-0.181513973175492,5.04017727557595e-05,0.000321611311870085
LUAD (n=516),Macrophage M0_CIBERSORT-ABS,-0.209913016937558,2.58288180709847e-06,3.74345514326758e-05
LUAD (n=516),Macrophage M1_CIBERSORT,-0.0526494074108228,0.243271562226988,0.362204325982405
LUAD (n=516),Macrophage M1_CIBERSORT-ABS,-0.0952680683595974,0.034452392150968,0.0748960956068309
LUAD (n=516),Macrophage M1_QUANTISEQ,-0.0691878604527928,0.124990530081417,0.206774457171727
LUAD (n=516),Macrophage M1_XCELL,-0.207728642589319,3.29608780062686e-06,4.01523422985453e-05
LUAD (n=516),Macrophage M2_CIBERSORT,0.12809519549996,0.00438983723441873,0.015424037623727
LUAD (n=516),Macrophage M2_CIBERSORT-ABS,-0.0220275108001933,0.625615164338612,0.748503857333696
LUAD (n=516),Macrophage M2_CONSENSUS_TME,-0.110192958506767,0.0143680093556476,0.0393655054000296
LUAD (n=516),Macrophage M2_QUANTISEQ,-0.174937510030918,9.44078907103266e-05,0.000506026294207351
LUAD (n=516),Macrophage M2_TIDE,0.213101520197293,1.80098986542534e-06,3.01665802458744e-05
LUAD (n=516),Macrophage M2_XCELL,-0.113061413473931,0.0120029482719002,0.0342211716688218
LUAD (n=516),Macrophage_CONSENSUS_TME,-0.0981378145198438,0.0293507389391274,0.066661000302425
LUAD (n=516),Macrophage_EPIC,-0.19391793002757,1.45116777845732e-05,0.000149581909471754
LUAD (n=516),Macrophage_ImmuCellAI,-0.0501923998351572,0.265998722116027,0.387432921342909
LUAD (n=516),Macrophage_TIMER,0.0285294670788803,0.527401505821474,0.656419340996772
LUAD (n=516),Macrophage_XCELL,-0.183499816776236,4.15172034233613e-05,0.000297549214860463
LUAD (n=516),Macrophage/Monocyte_MCPCOUNTER,-0.0750637960457987,0.0959516034666717,0.165048651482604
LUAD (n=516),Monocyte conventional_ABIS,-0.00231177912268341,0.9591664735542,0.978866252937119
LUAD (n=516),Monocyte non-conventional_ABIS,-0.0906903662323073,0.044147201605154,0.0882944032103079
LUAD (n=516),Monocyte_CIBERSORT,0.105105903805929,0.0195813511552216,0.0485907602740683
LUAD (n=516),Monocyte_CIBERSORT-ABS,0.0446381841817632,0.322611439407016,0.45031180083896
LUAD (n=516),Monocyte_CONSENSUS_TME,-0.12213516238229,0.0066250094587846,0.0206453783134218
LUAD (n=516),Monocyte_ImmuCellAI,0.100987627684011,0.0249398944724447,0.0596776046304927
LUAD (n=516),Monocyte_MCPCOUNTER,-0.0750637960457987,0.0959516034666717,0.165048651482604
LUAD (n=516),Monocyte_QUANTISEQ,-0.0136116924110029,0.763052013025874,0.852074747878893
LUAD (n=516),Monocyte_XCELL,-0.117911007325807,0.00877879099480937,0.026141288740099
LUAD (n=516),Myeloid dendritic cell activated_CIBERSORT,0.0898177289433132,0.0462346254070538,0.0911094088903707
LUAD (n=516),Myeloid dendritic cell activated_CIBERSORT-ABS,0.0770286618992566,0.0875414843515415,0.158521066258197
LUAD (n=516),Myeloid dendritic cell activated_XCELL,-0.191609102833945,1.84088653756695e-05,0.000176199140024265
LUAD (n=516),Myeloid dendritic cell resting_CIBERSORT,0.0153115034548748,0.734513736735344,0.827099501870051
LUAD (n=516),Myeloid dendritic cell resting_CIBERSORT-ABS,-0.00199906025651525,0.964686225745092,0.978866252937119
LUAD (n=516),Myeloid dendritic cell_ABIS,-0.0216316745866272,0.631840483494748,0.749262166268108
LUAD (n=516),Myeloid dendritic cell_CONSENSUS_TME,-0.126912187750933,0.0047699215923731,0.0159792373344499
LUAD (n=516),Myeloid dendritic cell_MCPCOUNTER,-0.0949927923597872,0.0349792613890419,0.0748960956068309
LUAD (n=516),Myeloid dendritic cell_QUANTISEQ,0.0265788050053123,0.556028186349258,0.677343427007278
LUAD (n=516),Myeloid dendritic cell_TIMER,-0.233025485947988,1.66705843844615e-07,3.89552755553216e-06
LUAD (n=516),Myeloid dendritic cell_XCELL,-0.0890789347999605,0.0480660698266419,0.0933457008227539
LUAD (n=516),Neutrophil_ABIS,0.0323121022850694,0.474108168274984,0.610870139892768
LUAD (n=516),Neutrophil_CIBERSORT,0.128940626367022,0.00413521496524633,0.0149761839281894
LUAD (n=516),Neutrophil_CIBERSORT-ABS,0.105365917112536,0.0192795354918643,0.0485907602740683
LUAD (n=516),Neutrophil_CONSENSUS_TME,0.000234448470738836,0.995857093433607,0.995857093433607
LUAD (n=516),Neutrophil_ImmuCellAI,0.0711766080164547,0.114481139885048,0.191755909307455
LUAD (n=516),Neutrophil_MCPCOUNTER,0.0841310464419738,0.0619601448878517,0.115314714096835
LUAD (n=516),Neutrophil_QUANTISEQ,-0.0058903212550658,0.896206065139662,0.960935925558847
LUAD (n=516),Neutrophil_TIMER,-0.0766246469725167,0.0892205338017932,0.159407353725871
LUAD (n=516),Neutrophil_XCELL,0.0734491374328014,0.103334947460425,0.175276999489835
LUAD (n=516),NK cell activated_CIBERSORT,0.02747426312827,0.542793582050067,0.667287522887238
LUAD (n=516),NK cell activated_CIBERSORT-ABS,-0.0486501290006575,0.280987091061223,0.404863120453805
LUAD (n=516),NK cell resting_CIBERSORT,-0.0334043148092819,0.459287902297877,0.597520183571995
LUAD (n=516),NK cell resting_CIBERSORT-ABS,-0.0373947648465201,0.40739835322561,0.545913793322318
LUAD (n=516),NK cell_ABIS,-0.00714740862831027,0.87422245777959,0.958517786986226
LUAD (n=516),NK cell_CONSENSUS_TME,-0.1277776216478,0.00448908557705487,0.015424037623727
LUAD (n=516),NK cell_EPIC,-0.156685993721282,0.000479862483319515,0.00214338575882717
LUAD (n=516),NK cell_MCPCOUNTER,-0.0949247211146934,0.0351106001008005,0.0748960956068309
LUAD (n=516),NK cell_QUANTISEQ,-0.143518076491835,0.00139789794334767,0.00550936248260554
LUAD (n=516),NK cell_XCELL,0.0561346108125828,0.213423042082919,0.321333568978777
LUAD (n=516),NK_ImmuCellAI,-0.0211220834066449,0.639893252548943,0.752155226680337
LUAD (n=516),NKT_ImmuCellAI,-0.0357526902823642,0.428315966076164,0.562689602492216
LUAD (n=516),Plasmacytoid dendritic cell_ABIS,0.288456030760198,6.67568725582067e-11,8.9454209227997e-09
LUAD (n=516),Plasmacytoid dendritic cell_XCELL,-0.110162869869338,0.0143948489895631,0.0393655054000296
LUAD (n=516),T cell CD4+ (non-regulatory)_QUANTISEQ,0.16304670095958,0.000277560771788249,0.00137752383035649
LUAD (n=516),T cell CD4+ (non-regulatory)_XCELL,-0.00682606658609437,0.879833491039596,0.958517786986226
LUAD (n=516),T cell CD4+ central memory_XCELL,-0.0236393657843356,0.600542943021734,0.724979769053265
LUAD (n=516),T cell CD4+ effector memory_XCELL,-0.0676910999878621,0.133383249038489,0.215341630977801
LUAD (n=516),T cell CD4+ memory activated_CIBERSORT,0.106872665003646,0.0176091101641214,0.0453773223460052
LUAD (n=516),T cell CD4+ memory activated_CIBERSORT-ABS,0.101260344755859,0.0245494760650796,0.0596776046304927
LUAD (n=516),T cell CD4+ memory resting_CIBERSORT,0.10065483968772,0.0254235608027532,0.0597676692555952
LUAD (n=516),T cell CD4+ memory resting_CIBERSORT-ABS,0.00587951264560691,0.896395452946686,0.960935925558847
LUAD (n=516),T cell CD4+ memory_ABIS,-0.0862487929094284,0.0556533709147765,0.105035939472959
